"","var.name","var.est","var.stat","var.up","var.low","var.alpha"
"1","N",1,1,0,0,1e-04
"2","A1",0.999999993986329,1.70088224259617e-07,1.00000016407455,0.999999823898105,1e-04
"3","Lambda1",0.183822769896599,0.00134139351155015,0.185164163408149,0.182481376385048,1e-04
"4","N",1,1,0,0,3e-04
"5","A1",0.999999997870832,5.87297974049841e-08,1.00000005660063,0.999999939141034,3e-04
"6","Lambda1",0.183813883765746,0.00133890986626578,0.185152793632012,0.18247497389948,3e-04
"7","N",1,0.78125,0,0,5e-04
"8","A1",0.999999980994779,2.88404595715691e-07,1.00000026939938,0.999999692590184,5e-04
"9","Lambda1",0.183791019888055,0.00133536515392221,0.185126385041978,0.182455654734133,5e-04
"10","N",1,1,0,0,7e-04
"11","A1",0.999999947630425,1.15466934202711e-06,1.00000110229977,0.999998792961083,7e-04
"12","Lambda1",0.183755044850452,0.00128171748450562,0.185036762334958,0.182473327365947,7e-04
"13","N",1,1,0,0,0.001
"14","A1",0.999999975103009,3.97261470167994e-07,1.00000037236448,0.999999577841539,0.001
"15","Lambda1",0.183679969919336,0.00136691703828248,0.185046886957618,0.182313052881053,0.001
"16","N",2,1,0,0,0.005
"17","A1",0.500773614892847,0.00478363364049849,0.505557248533346,0.495989981252349,0.005
"18","A2",0.499226116678415,0.00478349744497382,0.504009614123389,0.494442619233441,0.005
"19","Lambda1",0.966575937585775,0.0291130428021926,0.995688980387967,0.937462894783582,0.005
"20","Lambda2",0.101290950384608,0.00111152233063156,0.102402472715239,0.100179428053976,0.005
"21","N",2,1,0,0,0.007
"22","A1",0.500789662935579,0.00494488020031738,0.505734543135896,0.495844782735262,0.007
"23","A2",0.499210006079693,0.00494507398803326,0.504155080067726,0.494264932091659,0.007
"24","Lambda1",0.966167233913089,0.0297557762477639,0.995923010160853,0.936411457665325,0.007
"25","Lambda2",0.101415461246492,0.00109115789437535,0.102506619140868,0.100324303352117,0.007
"26","N",4,0.6825,0,0,0.01
"27","A1",0.302579236834124,0.147131763122204,0.449710999956328,0.15544747371192,0.01
"28","A2",0.196518466816088,0.152226632510082,0.34874509932617,0.0442918343060059,0.01
"29","A3",0.198793069691546,0.153634459878416,0.352427529569962,0.0451586098131301,0.01
"30","A4",0.302108730921526,0.148626402150803,0.450735133072329,0.153482328770723,0.01
"31","Lambda1",1.00542135755895,0.0901961366483748,1.09561749420733,0.915225220910577,0.01
"32","Lambda2",0.891254858817704,0.172971217238051,1.06422607605575,0.718283641579653,0.01
"33","Lambda3",0.11964684711801,0.0873983527085497,0.20704519982656,0.0322484944094607,0.01
"34","Lambda4",0.0995991448096341,0.00734552669235049,0.106944671501985,0.0922536181172836,0.01
"35","N",7,0.3375,0,0,0.05
"36","A1",0.160312521746162,0.151580018105453,0.311892539851615,0.00873250364070882,0.05
"37","A2",0.144764032722806,0.146631225164207,0.291395257887013,-0.0018671924414011,0.05
"38","A3",0.150666512180454,0.146536740461553,0.297203252642007,0.00412977171890158,0.05
"39","A4",0.0983399478224235,0.0835979829566695,0.181937930779093,0.014741964865754,0.05
"40","A5",0.153607596371733,0.1458015359447,0.299409132316434,0.00780606042703319,0.05
"41","A6",0.146555896036407,0.142799330601507,0.289355226637914,0.00375656543489922,0.05
"42","A7",0.145751093690405,0.147595978500548,0.293347072190953,-0.00184488481014361,0.05
"43","Lambda1",1.05981697985059,0.171638618967672,1.23145559881826,0.888178360882915,0.05
"44","Lambda2",0.978102200317323,0.0563227002275361,1.03442490054486,0.921779500089787,0.05
"45","Lambda3",0.90307747602123,0.145217135101112,1.04829461112234,0.757860340920118,0.05
"46","Lambda4",0.227476171935514,0.186412750078271,0.413888922013784,0.0410634218572428,0.05
"47","Lambda5",0.115384178464014,0.0623785634063928,0.177762741870407,0.0530056150576215,0.05
"48","Lambda6",0.101442594954569,0.00271104904477271,0.104153643999341,0.0987315459097959,0.05
"49","Lambda7",0.0943725680679018,0.0139963132251548,0.108368881293057,0.0803762548427469,0.05
